epoch,hit@1,hit@10,hit@20,hit@50,mrr@1,mrr@10,mrr@20,mrr@50,ndcg@1,ndcg@10,ndcg@20,ndcg@50,precision@1,precision@10,precision@20,precision@50,recall@1,recall@10,recall@20,recall@50,train_loss,valid_score
46,0.0573,0.2925,0.4104,0.5724,0.0573,0.117,0.1252,0.1305,0.0573,0.158,0.1877,0.2201,0.0573,0.0293,0.0205,0.0114,0.0573,0.2925,0.4104,0.5724,2460.8873,0.158
47,0.0606,0.293,0.4114,0.5735,0.0606,0.1193,0.1275,0.1327,0.0606,0.1598,0.1896,0.2219,0.0606,0.0293,0.0206,0.0115,0.0606,0.293,0.4114,0.5735,2459.1289,0.1598
48,0.0637,0.2939,0.4079,0.5776,0.0637,0.1217,0.1295,0.135,0.0637,0.1618,0.1905,0.2244,0.0637,0.0294,0.0204,0.0116,0.0637,0.2939,0.4079,0.5776,2457.0608,0.1618
49,0.0637,0.2947,0.4108,0.5758,0.0637,0.1217,0.1297,0.1351,0.0637,0.162,0.1913,0.2242,0.0637,0.0295,0.0205,0.0115,0.0637,0.2947,0.4108,0.5758,2454.8791,0.162
50,0.0601,0.293,0.4099,0.5778,0.0601,0.1199,0.1279,0.1334,0.0601,0.1603,0.1898,0.2234,0.0601,0.0293,0.0205,0.0116,0.0601,0.293,0.4099,0.5778,2453.1216,0.1603
51,0.0619,0.2952,0.4127,0.5796,0.0619,0.121,0.1291,0.1345,0.0619,0.1616,0.1912,0.2244,0.0619,0.0295,0.0206,0.0116,0.0619,0.2952,0.4127,0.5796,2450.8967,0.1616
52,0.0608,0.2962,0.4118,0.5765,0.0608,0.1206,0.1283,0.1337,0.0608,0.1615,0.1904,0.2234,0.0608,0.0296,0.0206,0.0115,0.0608,0.2962,0.4118,0.5765,2448.7757,0.1615
53,0.0631,0.2937,0.4108,0.5767,0.0631,0.1218,0.1299,0.1352,0.0631,0.1619,0.1914,0.2245,0.0631,0.0294,0.0205,0.0115,0.0631,0.2937,0.4108,0.5767,2447.3541,0.1619
54,0.0591,0.296,0.4093,0.5801,0.0591,0.119,0.1268,0.1323,0.0591,0.1603,0.1888,0.2229,0.0591,0.0296,0.0205,0.0116,0.0591,0.296,0.4093,0.5801,2445.2308,0.1603
55,0.0624,0.2945,0.4142,0.5783,0.0624,0.1213,0.1295,0.1348,0.0624,0.1617,0.1919,0.2245,0.0624,0.0295,0.0207,0.0116,0.0624,0.2945,0.4142,0.5783,2443.3563,0.1617
56,0.0626,0.2964,0.4152,0.5788,0.0626,0.1223,0.1305,0.1358,0.0626,0.1629,0.1929,0.2256,0.0626,0.0296,0.0208,0.0116,0.0626,0.2964,0.4152,0.5788,2441.6482,0.1629
57,0.0616,0.296,0.4119,0.5781,0.0616,0.1217,0.1297,0.1351,0.0616,0.1624,0.1916,0.2248,0.0616,0.0296,0.0206,0.0116,0.0616,0.296,0.4119,0.5781,2440.3086,0.1624
58,0.0583,0.2947,0.4119,0.579,0.0583,0.1186,0.1267,0.132,0.0583,0.1597,0.1892,0.2225,0.0583,0.0295,0.0206,0.0116,0.0583,0.2947,0.4119,0.579,2438.3178,0.1597
59,0.0634,0.2985,0.4149,0.5808,0.0634,0.1223,0.1303,0.1357,0.0634,0.1634,0.1927,0.2258,0.0634,0.0299,0.0207,0.0116,0.0634,0.2985,0.4149,0.5808,2437.4515,0.1634
60,0.0623,0.2962,0.4129,0.5796,0.0623,0.1213,0.1292,0.1347,0.0623,0.162,0.1914,0.2247,0.0623,0.0296,0.0206,0.0116,0.0623,0.2962,0.4129,0.5796,2435.1927,0.162
61,0.0619,0.2974,0.4127,0.579,0.0619,0.1212,0.1291,0.1345,0.0619,0.1622,0.1913,0.2245,0.0619,0.0297,0.0206,0.0116,0.0619,0.2974,0.4127,0.579,2433.3428,0.1622
62,0.0631,0.2993,0.4134,0.579,0.0631,0.1235,0.1313,0.1368,0.0631,0.1645,0.1932,0.2263,0.0631,0.0299,0.0207,0.0116,0.0631,0.2993,0.4134,0.579,2431.9791,0.1645
63,0.0621,0.2972,0.4166,0.5776,0.0621,0.122,0.1303,0.1355,0.0621,0.1629,0.193,0.2252,0.0621,0.0297,0.0208,0.0116,0.0621,0.2972,0.4166,0.5776,2429.941,0.1629
64,0.0649,0.3003,0.4161,0.5781,0.0649,0.1251,0.133,0.1383,0.0649,0.166,0.1951,0.2275,0.0649,0.03,0.0208,0.0116,0.0649,0.3003,0.4161,0.5781,2428.9895,0.166
65,0.0634,0.2969,0.4159,0.5798,0.0634,0.1229,0.1312,0.1365,0.0634,0.1635,0.1935,0.2262,0.0634,0.0297,0.0208,0.0116,0.0634,0.2969,0.4159,0.5798,2427.4302,0.1635
66,0.0642,0.2972,0.4179,0.5805,0.0642,0.1235,0.1319,0.1371,0.0642,0.1641,0.1945,0.2269,0.0642,0.0297,0.0209,0.0116,0.0642,0.2972,0.4179,0.5805,2426.0462,0.1641
67,0.0657,0.2969,0.4108,0.5781,0.0657,0.1242,0.1322,0.1376,0.0657,0.1645,0.1933,0.2267,0.0657,0.0297,0.0205,0.0116,0.0657,0.2969,0.4108,0.5781,2424.5336,0.1645
68,0.0641,0.2932,0.4171,0.5786,0.0641,0.1227,0.1311,0.1364,0.0641,0.1625,0.1937,0.2259,0.0641,0.0293,0.0209,0.0116,0.0641,0.2932,0.4171,0.5786,2422.7334,0.1625
69,0.0644,0.2998,0.4124,0.5773,0.0644,0.1246,0.1323,0.1377,0.0644,0.1655,0.1939,0.2268,0.0644,0.03,0.0206,0.0115,0.0644,0.2998,0.4124,0.5773,2421.5172,0.1655
70,0.0682,0.2959,0.4167,0.5791,0.0682,0.1258,0.1341,0.1395,0.0682,0.1655,0.1959,0.2284,0.0682,0.0296,0.0208,0.0116,0.0682,0.2959,0.4167,0.5791,2419.7192,0.1655
